iter	Passed	Remaining
176	252	1173
177	252	1167
178	253	1162
179	253	1156
180	254	1150
181	254	1145
182	255	1140
183	255	1134
184	256	1129
185	257	1125
186	257	1120
187	258	1116
188	259	1112
189	260	1108
190	260	1103
191	261	1099
192	261	1094
193	262	1089
194	262	1084
195	263	1080
196	264	1076
197	264	1072
198	265	1069
199	266	1064
200	266	1060
201	267	1055
202	267	1051
203	268	1048
204	269	1044
205	270	1040
206	270	1037
207	271	1034
208	272	1030
209	273	1027
210	273	1024
211	274	1020
212	275	1016
213	275	1012
214	276	1010
215	277	1006
216	278	1003
217	278	1000
218	279	996
219	280	993
220	280	990
221	281	987
222	282	984
223	283	982
224	284	978
225	284	975
226	285	972
227	286	969
228	287	966
229	287	963
230	288	960
231	289	956
232	289	953
233	290	951
234	291	948
235	292	946
236	293	943
237	293	940
238	294	936
239	295	934
240	295	931
241	296	928
242	297	926
243	297	922
244	298	920
245	299	917
246	299	914
247	300	911
248	301	908
249	302	906
250	303	904
251	304	902
252	304	899
253	305	896
254	305	893
255	306	890
256	307	889
257	308	887
258	310	887
259	310	884
260	311	882
261	312	879
262	313	877
263	313	875
264	314	872
265	318	879
266	320	878
267	321	876
268	321	874
269	322	872
270	323	870
271	324	868
272	325	865
273	325	863
274	326	861
275	327	858
276	328	856
277	329	855
278	330	853
279	330	850
280	331	848
281	332	846
282	333	843
283	334	842
284	335	840
285	335	838
286	336	836
287	337	835
288	338	833
289	339	831
290	340	829
291	341	827
292	342	826
293	343	825
294	344	823
295	345	822
296	346	820
297	347	818
298	348	816
299	349	814
300	349	812
301	350	809
302	350	806
303	351	804
304	352	802
305	352	800
306	353	797
307	353	794
308	354	792
309	355	790
310	355	788
311	356	785
312	357	783
313	357	781
314	358	779
315	359	777
316	359	774
317	360	772
318	360	770
319	361	768
320	362	765
321	362	763
322	363	761
323	363	758
324	364	756
325	364	754
326	365	752
327	366	750
328	366	748
329	367	745
330	367	743
331	368	741
332	368	738
333	369	736
334	369	734
335	370	732
336	370	729
337	371	728
338	372	726
339	372	724
340	373	721
341	374	719
342	374	717
343	375	715
344	375	712
345	375	710
346	376	708
347	376	706
348	377	704
349	378	702
350	378	700
351	379	698
352	379	696
353	380	694
354	381	692
355	381	690
356	382	688
357	382	686
358	383	684
359	384	682
360	384	680
361	385	678
362	385	676
363	386	675
364	387	673
365	387	671
366	388	669
367	389	668
368	389	666
369	390	664
370	390	662
371	391	661
372	392	659
373	392	657
374	393	655
375	394	653
376	394	651
377	395	650
378	395	648
379	396	646
380	396	644
381	397	642
382	397	640
383	398	639
384	398	637
385	399	635
386	399	633
387	400	631
388	401	629
389	401	628
390	402	626
391	402	625
392	403	623
393	404	621
394	404	620
395	405	618
396	406	617
397	406	615
398	407	614
399	408	612
400	409	611
401	409	609
402	410	608
403	411	606
404	412	605
405	412	604
406	413	602
407	414	600
408	414	599
409	415	597
410	415	595
411	416	594
412	417	593
413	418	591
414	418	590
415	419	589
416	420	587
417	421	586
418	421	584
419	422	583
420	423	582
421	424	580
422	424	579
423	425	577
424	425	576
425	426	574
426	427	573
427	427	571
428	428	569
429	428	568
430	429	566
431	430	565
432	430	564
433	431	562
434	431	561
435	432	559
436	433	557
437	433	556
438	434	554
439	434	553
440	435	552
441	436	550
442	436	549
443	437	547
444	437	546
445	438	544
446	439	543
447	439	541
448	440	540
449	441	539
450	441	537
451	442	536
452	442	534
453	443	533
454	444	531
455	444	530
456	445	528
457	445	527
458	445	525
459	446	524
460	447	522
461	447	521
462	448	520
463	449	518
464	449	517
465	450	515
466	450	514
467	451	513
468	452	511
469	452	510
470	453	509
471	453	507
472	454	506
473	455	504
474	455	503
475	456	502
476	456	500
477	457	499
478	457	498
479	458	496
480	458	495
481	459	493
482	460	492
483	460	491
484	461	489
485	461	488
486	462	486
487	462	485
488	463	484
489	463	482
490	464	481
491	464	479
492	465	478
493	466	477
494	466	476
